trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
183,False,"{'a': 0.7, 'e': 0.1589427091997875}",25,16,1.7921184548648366,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
184,False,"{'a': 0.7, 'e': 0.15735328210778962}",25,15,19.15112902056166,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.7, 'e': 0.15577974928671173}",25,20,10.790593523416915,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.7, 'e': 0.15422195179384462}",20,3,29.514584330604162,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.7, 'e': 0.15267973227590617}",30,7,-2.00683535237086,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
188,False,"{'a': 0.7, 'e': 0.1511529349531471}",30,15,27.26060616958508,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.7, 'e': 0.14964140560361563}",20,13,14.267550992333652,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.7, 'e': 0.14814499154757946}",30,20,20.880513123651234,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.7, 'e': 0.14666354163210368}",20,15,2.1456964095494135,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.7, 'e': 0.14519690621578263}",20,6,22.084953569883602,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.7, 'e': 0.1437449371536248}",20,14,9.984462130845632,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.7, 'e': 0.14230748778208857}",25,15,19.300935546241973,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.7, 'e': 0.14088441290426768}",30,11,17.93248182705385,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
196,False,"{'a': 0.7, 'e': 0.139475568775225}",35,20,7.456972979108466,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
197,False,"{'a': 0.7, 'e': 0.13808081308747275}",20,14,14.256773875800256,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.7, 'e': 0.136700004956598}",25,8,22.355220185455604,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
199,False,"{'a': 0.7, 'e': 0.13533300490703204}",25,16,-50.38663441696917,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
200,False,"{'a': 0.7, 'e': 0.13397967485796172}",30,13,6.315070595355774,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
201,False,"{'a': 0.7, 'e': 0.1326398781093821}",25,12,26.001904984812597,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.7, 'e': 0.13131347932828827}",20,6,24.898611294093673,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.7, 'e': 0.1300003445350054}",25,11,-26.141598681470487,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
204,False,"{'a': 0.7, 'e': 0.12870034108965533}",25,15,12.633139494842434,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.7, 'e': 0.1274133376787588}",20,16,7.32185869166004,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.7, 'e': 0.12613920430197118}",20,14,11.493451818172161,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.7, 'e': 0.12487781225895148}",20,10,14.65825293297032,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.7, 'e': 0.12362903413636196}",25,15,6.211245221119112,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
209,False,"{'a': 0.7, 'e': 0.12239274379499834}",25,8,-19.83771397066706,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
210,False,"{'a': 0.7, 'e': 0.12116881635704835}",20,14,6.944410699449462,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.7, 'e': 0.11995712819347787}",30,18,11.485437658843615,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
212,False,"{'a': 0.7, 'e': 0.11875755691154309}",35,23,26.403055794813113,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.7, 'e': 0.11756998134242766}",20,16,6.728369947660941,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.7, 'e': 0.11639428152900338}",30,13,25.85107057746661,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.7, 'e': 0.11523033871371334}",20,15,8.234475786380978,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.7, 'e': 0.11407803532657622}",25,9,28.45676479826711,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.7, 'e': 0.11293725497331045}",30,18,25.271160075493984,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.7, 'e': 0.11180788242357734}",20,8,20.930194701919206,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.7, 'e': 0.11068980359934157}",20,3,14.628362105582603,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
220,False,"{'a': 0.7, 'e': 0.10958290556334815}",25,15,-21.496250862887358,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
221,False,"{'a': 0.7, 'e': 0.10848707650771466}",25,4,6.137013165329762,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 0}",1
222,False,"{'a': 0.7, 'e': 0.10740220574263752}",25,17,12.3468842930184,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.7, 'e': 0.10632818368521114}",25,17,14.163576245580378,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.7, 'e': 0.10526490184835903}",30,11,1.1356615155356398,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
225,False,"{'a': 0.7, 'e': 0.10421225282987544}",25,8,29.35499122980789,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.7, 'e': 0.10317013030157668}",30,19,20.589572983219707,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.7, 'e': 0.10213842899856092}",20,14,11.470125859029626,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.7, 'e': 0.10111704470857531}",25,15,17.361576357850712,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.7, 'e': 0.10010587426148955}",20,10,19.933623025169226,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.7, 'e': 0.09910481551887466}",25,10,27.231840649246184,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.7, 'e': 0.0981137673636859}",25,20,11.656911459901163,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.7, 'e': 0.09713262969004906}",30,16,-12.917916628429802,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
233,False,"{'a': 0.7, 'e': 0.09616130339314856}",20,8,18.28686551395608,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.7, 'e': 0.09519969035921708}",30,22,17.295122617935196,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.7, 'e': 0.0942476934556249}",25,13,16.322118515904606,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.7, 'e': 0.09330521652106866}",25,13,26.457116279656997,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.7, 'e': 0.09237216435585796}",20,3,17.73217095435444,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.7, 'e': 0.09144844271229938}",20,0,30.194724718652154,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
239,False,"{'a': 0.7, 'e': 0.0905339582851764}",20,10,18.040617425973306,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.7, 'e': 0.08962861870232462}",20,7,-20.863922479859315,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
241,False,"{'a': 0.7, 'e': 0.08873233251530138}",20,11,15.719133138540045,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.7, 'e': 0.08784500919014836}",20,14,7.782536542180448,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.7, 'e': 0.08696655909824688}",20,12,14.8081633336538,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.7, 'e': 0.0860968935072644}",20,12,10.852577207299792,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.7, 'e': 0.08523592457219176}",30,17,24.566810024493428,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.7, 'e': 0.08438356532646984}",20,3,16.00803622820108,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
247,False,"{'a': 0.7, 'e': 0.08353972967320515}",20,0,19.646904498557497,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
248,False,"{'a': 0.7, 'e': 0.0827043323764731}",20,12,12.212684954765404,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.7, 'e': 0.08187728905270836}",25,14,20.657085148197392,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.7, 'e': 0.08105851616218128}",35,23,19.463095216014878,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.7, 'e': 0.08024793100055946}",30,11,34.080980958152544,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
